gene,jw_id,medium,cluster,n_replicates,best_model,gr,N_max,lag,shape,aicc,converged
yieH,JW3693,LB,2,3,aHPM,3.4735086747226407,0.9702871667142132,4.321062240448127,0.10507359415681986,-102.30580072448343,true
yjeB,JW4136,M63,2,3,aHPM,0.7156781509690356,1.0231878880090903,4.04821661293743,0.5783588270460457,-145.68147234443654,true
mqo,JW2198,LB,2,3,baranyi_richards,0.649898568740992,1.1033043980651123,4.449874188816891,23.918415002323144,-96.0822634280682,true
ycdO,JW1003,M63,1,3,aHPM,1.2093094824749544,0.8971823127174444,0.17673647448333674,0.28814868702645113,-100.76252295824544,true
uspF,JW1370,LB,1,3,aHPM,1.1962663295009874,1.111905888714388,49.99999698094866,0.40918241007969913,-116.97752454930921,true
yeiG,JW2141,LB,1,3,aHPM,1.2059267784591765,1.1862905347587962,49.998432141397814,0.36747127092933546,-114.93192119457612,true
chpA,JW2753,M63,1,3,aHPM,0.8743174949856578,0.8321847692665891,0.5782140445375066,0.3903666065168083,-121.11675515771975,true
ydhA,JW1631,M63,1,3,aHPM,0.7710823869685698,0.8504347960017489,0.5510292137688999,0.3474915100559604,-133.13787960169694,true
rrmA,JW1811,M63,1,3,aHPM,0.7940889369948414,1.0745362026959544,1.9109208574120564,0.36372367087901125,-140.97894689373106,true
ybbC,JW0487,M63,1,3,aHPM,0.5752711929800195,1.0185838126364706,2.9120735446207147,0.7783224015225649,-158.4090435811683,true
dsbA,JW3832,M63,2,3,aHPM,0.4039990843080474,0.544222176391183,0.2064389827060731,0.5497739680854286,-155.123342757012,true
yafK,JW0214,LB,2,3,aHPM,1.8945491459842967,1.2041436800582201,49.99994280112691,0.2313299352143853,-100.00663963586214,true
ykfF,JW5023,M63,1,3,aHPM,0.6487089041251785,1.006873376810119,1.051777630426301,0.5467981072500203,-135.69706331218472,true
ydaL,JW1334,LB,1,3,aHPM,1.483929492854805,1.1817932445085875,49.999984760071385,0.24768285947205607,-100.95341100709351,true
cysE,JW3582,LB,2,3,aHPM,0.7223187663314271,0.6433182954752437,31.32400091928311,0.5638352079813017,-143.45294226130372,true
pflA,JW0885,M63,1,3,aHPM,0.8898679642195844,0.8199037758350547,0.051494374671346516,0.41715765645887454,-150.27009157589194,true
purH,JW3970,M63,2,3,aHPM,49.76319464120829,0.0032622569995981957,0.12072180897421553,9.358258001443494,-155.46145384587564,true
yhhJ,JW5677,M63,2,3,aHPM,0.6815468591949528,1.0482160016788569,2.4593679401621533,0.6559312925000883,-130.18394698506148,true
yncN,JW5230,M63,2,3,baranyi_richards,0.5542854810342125,0.912441567682672,3.5097999601428906,3.9659307757816604,-149.40770954619035,true
hycG,JW2689,LB,1,3,aHPM,1.1665535136326355,1.1636389146599413,49.97429126783556,0.40819885363211855,-107.39248370653343,true
ygiP,JW3032,M63,1,3,aHPM,1.1120592953502602,0.9439056354440523,1.2208537212398032,0.27705601879045055,-120.93173858918155,true
yphG,JW5405,LB,1,3,gompertz,0.34840257014072873,1.2576541600080984,NaN,NaN,-95.43695957658299,true
frdA,JW4115,M63,1,3,aHPM,1.0160797848909662,0.9334229158851921,0.9859878668172575,0.3131902948190152,-129.67904576912667,true
fdnI,JW1472,M63,2,3,aHPM,0.7507591801085072,0.7470788972029603,0.0397181950300111,0.6279106007672882,-140.75554989179162,true
yebV,JW5302,LB,1,3,aHPM,1.0568071538351467,1.0912493456483296,49.93267054513594,0.5114875386946942,-105.13874027674545,true
hcp,JW0857,LB,1,3,aHPM,1.2167437262477945,1.1542981719012826,49.945509030087806,0.3548972672082721,-113.3958728616989,true
nudC,JW5548,M63,2,3,aHPM,1.1400790910428726,0.9738370792321882,1.397090761226184,0.2581760045362038,-118.48435562554529,true
ytfL,JW4177,M63,1,3,aHPM,0.8026198411833756,0.5092047682907952,0.03938028509353422,0.4095596995779253,-119.16449979303655,true
ycdP,JW1006,LB,1,3,aHPM,2.1578772370794113,1.1744210884159656,49.998812120051745,0.1443741180695654,-118.68805950842275,true
yjeF,JW4125,LB,2,3,aHPM,1.2748755751374123,1.189545109075864,49.999990993651444,0.3865570319682018,-102.31554938434586,true
mqo,JW2198,M63,1,3,aHPM,1.1166204751763986,0.935091659555062,0.31953372641000083,0.19800883564556623,-125.5798922842875,true
uspF,JW1370,M63,1,3,baranyi_richards,0.6595038972326546,0.7846319775916657,3.9480682168045695,3.8251152580796783,-121.8615146115977,true
smpA,JW2598,M63,1,3,aHPM,0.8603576226760455,0.7789295493200468,0.318358758814929,0.33174586917544985,-144.19452023315083,true
dsbB,JW5182,LB,1,3,aHPM,1.2365391041310603,1.1520884864971894,49.999949231637494,0.45853079305894856,-74.58999041696826,true
chpB,JW4184,LB,1,3,gompertz,0.2979093952655434,1.2841643853507603,NaN,NaN,-113.94662330813091,true
ydhB,JW1651,LB,1,3,aHPM,1.0690826562530091,1.0857685219860214,49.9967742634446,0.437255998347566,-114.77171852217901,true
yeiG,JW2141,M63,1,3,aHPM,1.0304490965281001,0.8465865361112395,0.1379955670293809,0.3340087183740807,-127.06358722130722,true
rrmJ,JW3146,LB,1,3,logistic,0.7949590286615483,0.7716382835307373,NaN,NaN,-73.2553092318556,true
ykfG,JW0236,LB,2,3,gompertz,0.2887339860440008,1.2340800920731874,NaN,NaN,-120.3590124248882,true
yieH,JW3693,M63,2,3,aHPM,0.7722647753666176,0.7863992770607016,0.16544465282742493,0.5118051827417124,-135.6039274667081,true
purK,JW0511,LB,1,3,aHPM,1.4447730691888812,1.1598088062620282,49.99977112131949,0.2757664685676765,-106.15552161045063,true
ybhM,JW0770,M63,1,3,baranyi_richards,0.8096354931026222,0.7023636190376324,29.407073991328556,6.110005339678572,-281.7725560782523,true
yafK,JW0214,M63,1,3,aHPM,0.801539704640947,0.9734111111367874,1.586047895697944,0.40465107960593116,-125.39996037952146,true
ydaL,JW1334,M63,1,3,aHPM,0.8759459766465522,1.0226166717323135,1.9532767835833926,0.3766389095093514,-120.79817377488209,true
ygiQ,JW5501,LB,1,3,aHPM,0.9162072900699297,1.1731566611407835,49.999942356485114,0.6057635519098895,-109.81025540078741,true
pflB,JW0886,LB,1,3,aHPM,2.918252755564562,1.2113051629246676,49.48053603435623,0.11845379055720752,-114.82413254911171,true
fdoG,JW3865,LB,1,3,aHPM,1.2640734223379797,1.167650988610357,2.8417872677348366,0.38268142177770453,-114.01541813936714,true
ybbD,JW0489,LB,2,3,aHPM,0.8805581060122988,0.7787180665103882,16.458378835331583,0.5865532011253646,-102.61575546849008,true
hycG,JW2689,M63,2,3,aHPM,0.8891066439436243,0.9348673107826186,1.176217383344102,0.3807198586144662,-121.18745437320585,true
yneE,JW5245,LB,1,3,aHPM,1.2595926209371464,1.0941839289301056,49.99758951826705,0.38236297763912125,-91.43136087883443,true
yphG,JW5405,M63,2,3,aHPM,0.5401657897811228,0.9820538714064656,1.6467847322145934,1.1318151421336433,-125.31947393731454,true
yebV,JW5302,M63,2,3,aHPM,0.6640986786678902,1.0141650366003936,6.409939484753212,0.5871795299848205,-152.36110649294793,true
frdB,JW4114,LB,1,3,aHPM,1.4446589155023637,1.198990408896023,49.99937196740086,0.28163472603405826,-110.34921052562618,true
hcp,JW0857,M63,2,3,aHPM,1.077246937262433,0.8135824786837702,0.26401457478629575,0.3143773965717049,-120.04393524914232,true
yjeF,JW4125,M63,1,3,aHPM,0.5594197736047292,0.8854764083165068,0.28989382083415066,1.033414702855423,-145.1017775975088,true
ycdP,JW1006,M63,1,3,aHPM,0.6810562181935903,1.0204172184550329,0.9456519473381326,0.4241628764673789,-140.52021268140135,true
yhhK,JW3424,LB,2,3,gompertz,0.25193094186263837,1.0651860551026353,NaN,NaN,-124.1888068746784,true
ytfM,JW4179,LB,1,3,aHPM,1.0862634794035615,0.767662024710895,49.99990339204066,0.5058010115876879,-96.86723033428127,true
uspG,JW0600,LB,2,3,gompertz,0.2804062064039315,1.0959044123136805,NaN,NaN,-107.36898396072588,true
