gene,medium,gr_loglin,gr_loglin_se,gr_max_sliding,t_exp_start,t_exp_end,doubling_time,R_squared,lag_loglin,N_max_emp,converged
yfdV,LB,0.7266897829741733,0.05273243177542938,1.2380953030155601,1.75,5.0,0.9538419237477842,0.940566894297448,-0.07594230458364859,1.1558666666666666,True
qseC,LB,0.872705377600555,0.04006383566089949,1.199449664104308,3.75,7.75,0.7942510706943356,0.9693560782818096,3.3010067282706466,1.1106900000000002,True
yhhN,LB,0.6987206135191604,0.03182675899033258,0.9932227364210722,1.75,5.75,0.9920233740763078,0.9698172448684592,0.9101453208287723,1.08548,True
dedD,LB,0.7337808650384204,0.039195866265945734,1.1492166383435192,1.75,6.0,0.9446242244592361,0.9563403516885073,-0.07224496720861824,1.06427,True
ygaH,LB,0.62737947825186,0.039181779629243706,1.1817894968897507,1.75,6.0,1.104829221528478,0.9412595745798141,-0.2577982022277331,1.1484733333333335,True
yfeK,LB,0.9396711722708457,0.04449477481124661,1.335413375480698,2.25,6.75,0.7376486594612229,0.9632828495802955,2.4748437812906166,1.12692,True
hyaD,LB,0.9165518968281369,0.02342652785965683,1.05029094816101,3.25,6.0,0.756255246384502,0.993509565352132,2.2457415895517014,1.10418,True
ygeR,LB,0.593068560793762,0.022959078224477663,0.8257587352487501,1.75,6.0,1.1687471337752893,0.9765831591427035,0.8792976104136765,1.1294,True
pepN,LB,0.693545639423401,0.02650756012369304,0.8718422656284585,1.75,4.25,0.9994254756416795,0.987023445424974,0.684959833379904,1.1622566666666665,True
yadC,LB,0.5282524619907466,0.021782863967817194,0.8791593749797045,1.75,6.0,1.3121513488981849,0.9735144329026977,0.02933755193229056,1.19708,True
yohM,LB,0.9344338565581144,0.042714841920938794,1.3216843781129344,3.25,7.75,0.7417830333257376,0.9656956135574997,2.712715447715962,1.1035066666666666,True
yfhM,LB,0.9919506552211443,0.03847603078287331,1.3669417054309796,2.5,7.0,0.6987718359895794,0.9750608845420073,2.140513268278525,1.0623399999999998,True
yjbM,LB,0.734099582193308,0.03392746955560326,1.0608793649919976,1.75,5.75,0.9442141057879273,0.9689552640279586,0.8176306691697287,0.9617916666666667,True
yjeP,LB,0.6185674474717959,0.023965396560658513,0.8258519449969619,2.0,6.25,1.1205684738066497,0.9765464807383633,1.525449006543001,1.3052400000000002,True
yeiE,LB,1.0430976920320385,0.03441217346691944,1.2187660835465883,2.0,4.75,0.6645084020938045,0.9892335365807929,1.3169214583915887,1.0592566666666667,True
pta,LB,0.786746606421839,0.020023723959978017,1.0199685849272786,2.5,6.5,0.8810297685456968,0.9903769723088462,2.080474962423115,1.09647,True
ymfQ,LB,0.8376182745818695,0.04475899290177466,1.2770297739617058,1.75,5.0,0.8275215591564753,0.9668702788174752,0.23356152844390446,1.1169499999999997,True
cobB,LB,0.946315131546693,0.04768582375015546,1.3640284475503286,1.75,6.0,0.7324697211879508,0.9609580568677362,0.8960915724941484,0.9734733333333334,True
yiaW,LB,0.6101532114327477,0.03207740836574434,0.868035580479126,1.75,5.5,1.136021523073382,0.9627470247408585,1.085190226150705,1.16448,True
yegU,LB,0.7396931935861778,0.025895168977849672,0.9913829694291968,3.75,8.0,0.9370738930277723,0.9807681705338281,3.6492448929173307,0.7623666666666666,True
lsrB,LB,1.0167903853649172,0.035430497716757846,1.2933386968011353,2.75,6.75,0.6817011554561276,0.9821127226607854,2.2179311690890224,1.1038000000000001,True
uspE,LB,0.7181046474816392,0.0217332267208313,0.9806602994059734,3.5,7.75,0.9652453622056081,0.985556434125841,3.050379520398768,0.7752549999999999,True
yfiE,LB,0.7827391633092791,0.039565754978041774,1.2405558672707826,1.75,6.25,0.8855404367777445,0.9583717906262261,0.7281109933748597,1.1307800000000001,True
ybdG,LB,0.6815648851479249,0.04958659085813053,1.224663184935523,1.75,5.0,1.0169936797866377,0.9402757674739746,-0.1947278669045116,1.13632,True
cchB,LB,0.6746677630592236,0.03265880902266476,1.0428322179495164,1.75,6.0,1.027390396447769,0.9638626820740056,0.3396327009183932,1.1243066666666666,True
speE,LB,0.6887674177913984,0.044112562234974596,1.183147674394705,1.75,5.5,1.0063588413961146,0.9456927898958237,-0.11422318359597292,1.1522166666666667,True
yhfG,LB,0.9237840935954154,0.0395942415117331,1.300171130123333,1.75,6.0,0.7503346132126834,0.9714463329222324,1.0928837766950044,1.07002,True
ybgH,LB,0.6551227515983166,0.02785831715821403,0.912013648320551,2.25,6.5,1.0580416858807906,0.9718811513266361,1.6234019012588592,0.9870299999999999,True
xdhB,LB,0.7451062954805584,0.02881319805979172,1.0351671797034556,2.25,6.75,0.9302661711009945,0.9752090534334636,3.542507541214828,1.1518799999999998,True
ybhO,LB,0.6808635734175803,0.04883044002814018,1.178831709124218,1.75,5.25,1.0180412165108315,0.9373249612636713,-0.23190148877356653,1.1038866666666667,True
yfdZ,LB,0.9023675581893346,0.04404580725742082,1.3159092860730668,1.75,6.25,0.768142841871216,0.9610732959546192,0.86342750723464,1.1148533333333335,True
bax,LB,0.7818825256525506,0.04353706599768,1.1981717973440855,1.75,5.75,0.8865106429913525,0.9555589759809717,0.34393592458365124,1.12152,True
glxR,LB,0.6456741104426034,0.037590819647838294,0.9494275393187948,1.75,5.0,1.0735248159242432,0.9609156098812506,0.38203518323648467,1.10324,True
gnsA,LB,0.9365793034314839,0.041118185471903546,1.2221178434822144,1.75,5.0,0.7400838113978813,0.9773936967382391,0.8730210144646272,1.0479833333333333,True
ycdP,LB,0.964082911372597,0.03983638642922808,1.2334629751960924,1.75,5.0,0.7189705080168763,0.9799227516823035,1.0298341680135543,1.0819333333333334,True
yobD,LB,0.7542351135247287,0.036637183164154846,1.1342647552950134,1.75,6.0,0.9190067767074589,0.9636205044821686,0.516228575644306,1.0991933333333332,True
yeiC,LB,1.0476766090866299,0.04433126679574616,1.4052976299263764,2.75,7.25,0.6616041386704574,0.9704611975213643,2.4507759829694282,1.0713033333333333,True
