gene,in_screen,non_growing_m63,amino_acid_biosynthesis_eco01230,wider_biosynthesis_set,in_eco01230,in_eco01240,in_eco00230,in_eco00240
emrd,True,False,False,False,False,False,False,False
emre,True,False,False,False,False,False,False,False
emrk,True,False,False,False,False,False,False,False
emry,True,False,False,False,False,False,False,False
emta,True,False,False,False,False,False,False,False
enda,True,False,False,False,False,False,False,False
enta,True,False,False,False,False,False,False,False
entb,True,False,False,False,False,False,False,False
entc,True,False,False,False,False,False,False,False
ente,True,False,False,False,False,False,False,False
entf,True,False,False,False,False,False,False,False
envc,True,False,False,False,False,False,False,False
envr,True,False,False,False,False,False,False,False
envy,True,False,False,False,False,False,False,False
envz,True,False,False,False,False,False,False,False
epd,True,False,False,True,False,True,False,False
epta,True,False,False,False,False,False,False,False
eptb,True,False,False,False,False,False,False,False
erfk,True,False,False,False,False,False,False,False
essd,True,False,False,False,False,False,False,False
essq,True,False,False,False,False,False,False,False
etp,True,False,False,False,False,False,False,False
euta,True,False,False,False,False,False,False,False
eutb,True,False,False,False,False,False,False,False
eutc,True,False,False,False,False,False,False,False
eute,True,False,False,False,False,False,False,False
eutg,True,False,False,False,False,False,False,False
euth,True,False,False,False,False,False,False,False
euti,True,False,False,False,False,False,False,False
eutj,True,False,False,False,False,False,False,False
eutl,True,False,False,False,False,False,False,False
eutp,True,False,False,False,False,False,False,False
eutq,True,False,False,False,False,False,False,False
eutt,True,False,False,True,False,True,False,False
evga,True,False,False,False,False,False,False,False
evgs,True,False,False,False,False,False,False,False
exbb,True,False,False,False,False,False,False,False
exbd,True,False,False,False,False,False,False,False
exo,True,False,False,False,False,False,False,False
exox,True,True,False,False,False,False,False,False
exur,True,False,False,False,False,False,False,False
exut,True,False,False,False,False,False,False,False
fabf,True,False,False,True,False,True,False,False
fabh,True,False,False,False,False,False,False,False
fabr,True,False,False,False,False,False,False,False
fada,True,False,False,False,False,False,False,False
fadb,True,False,False,False,False,False,False,False
fadd,True,False,False,False,False,False,False,False
fade,True,False,False,False,False,False,False,False
fadh,True,False,False,False,False,False,False,False
fadl,True,False,False,False,False,False,False,False
fadr,True,False,False,False,False,False,False,False
fbab,True,False,True,True,True,False,False,False
fbp,True,False,False,False,False,False,False,False
fcl,True,False,False,False,False,False,False,False
fdhd,True,False,False,False,False,False,False,False
fdhe,True,False,False,False,False,False,False,False
fdhf,True,False,False,False,False,False,False,False
fdng,True,False,False,False,False,False,False,False
fdnh,True,False,False,False,False,False,False,False
fdni,True,False,False,False,False,False,False,False
fdog,True,False,False,False,False,False,False,False
fdoh,True,False,False,False,False,False,False,False
fdoi,True,False,False,False,False,False,False,False
fdra,True,False,False,True,False,False,True,False
fdx,True,False,False,False,False,False,False,False
feab,True,False,False,False,False,False,False,False
fear,True,False,False,False,False,False,False,False
feca,True,False,False,False,False,False,False,False
fecb,True,False,False,False,False,False,False,False
fecc,True,False,False,False,False,False,False,False
fecd,True,False,False,False,False,False,False,False
fece,True,False,False,False,False,False,False,False
feci,True,False,False,False,False,False,False,False
fecr,True,False,False,False,False,False,False,False
feoa,True,False,False,False,False,False,False,False
feob,True,False,False,False,False,False,False,False
fepa,True,False,False,False,False,False,False,False
fepb,True,False,False,False,False,False,False,False
fepc,True,False,False,False,False,False,False,False
fepd,True,False,False,False,False,False,False,False
fepe,True,False,False,False,False,False,False,False
fepg,True,False,False,False,False,False,False,False
fes,True,False,False,False,False,False,False,False
fhia,True,False,False,False,False,False,False,False
fhla,True,False,False,False,False,False,False,False
fhua,True,False,False,False,False,False,False,False
fhub,True,False,False,False,False,False,False,False
fhuc,True,False,False,False,False,False,False,False
fhud,True,False,False,False,False,False,False,False
fhue,True,False,False,False,False,False,False,False
fhuf,True,False,False,False,False,False,False,False
fic,True,False,False,False,False,False,False,False
fief,True,False,False,False,False,False,False,False
fima,True,False,False,False,False,False,False,False
fimb,True,False,False,False,False,False,False,False
fimc,True,False,False,False,False,False,False,False
fimd,True,False,False,False,False,False,False,False
fime,True,False,False,False,False,False,False,False
fimf,True,False,False,False,False,False,False,False
fimg,True,False,False,False,False,False,False,False
fimh,True,False,False,False,False,False,False,False
fimi,True,False,False,False,False,False,False,False
fimz,True,False,False,False,False,False,False,False
fis,True,False,False,False,False,False,False,False
fiu,True,False,False,False,False,False,False,False
fixa,True,False,False,False,False,False,False,False
fixb,True,False,False,False,False,False,False,False
fixc,True,False,False,False,False,False,False,False
fixx,True,False,False,False,False,False,False,False
fklb,True,False,False,False,False,False,False,False
fkpa,True,False,False,False,False,False,False,False
fkpb,True,False,False,False,False,False,False,False
fldb,True,False,False,False,False,False,False,False
flga,True,False,False,False,False,False,False,False
flgb,True,False,False,False,False,False,False,False
flgc,True,False,False,False,False,False,False,False
flgd,True,False,False,False,False,False,False,False
flge,True,False,False,False,False,False,False,False
flgf,True,False,False,False,False,False,False,False
flgg,True,False,False,False,False,False,False,False
flgh,True,False,False,False,False,False,False,False
flgi,True,False,False,False,False,False,False,False
flgj,True,False,False,False,False,False,False,False
flgk,True,False,False,False,False,False,False,False
flgl,True,False,False,False,False,False,False,False
flgm,True,False,False,False,False,False,False,False
flgn,True,False,False,False,False,False,False,False
flha,True,False,False,False,False,False,False,False
flhb,True,False,False,False,False,False,False,False
flhc,True,False,False,False,False,False,False,False
flhd,True,False,False,False,False,False,False,False
flhe,True,False,False,False,False,False,False,False
flia,True,False,False,False,False,False,False,False
flic,True,False,False,False,False,False,False,False
flid,True,False,False,False,False,False,False,False
flie,True,False,False,False,False,False,False,False
flif,True,False,False,False,False,False,False,False
flig,True,False,False,False,False,False,False,False
flih,True,False,False,False,False,False,False,False
flii,True,False,False,False,False,False,False,False
flij,True,False,False,False,False,False,False,False
flik,True,False,False,False,False,False,False,False
flil,True,False,False,False,False,False,False,False
flim,True,False,False,False,False,False,False,False
flin,True,False,False,False,False,False,False,False
flio,True,False,False,False,False,False,False,False
flip,True,False,False,False,False,False,False,False
fliq,True,False,False,False,False,False,False,False
flir,True,False,False,False,False,False,False,False
flis,True,False,False,False,False,False,False,False
flit,True,False,False,False,False,False,False,False
fliy,True,False,False,False,False,False,False,False
fliz,True,False,False,False,False,False,False,False
flk,True,False,False,False,False,False,False,False
flu,True,False,False,False,False,False,False,False
flxa,True,False,False,False,False,False,False,False
fnr,True,False,False,False,False,False,False,False
foca,True,False,False,False,False,False,False,False
focb,True,False,False,False,False,False,False,False
folb,True,False,False,True,False,True,False,False
folm,True,False,False,False,False,False,False,False
folp,True,False,False,True,False,True,False,False
folx,True,False,False,False,False,False,False,False
fpr,True,False,False,False,False,False,False,False
frc,True,False,False,False,False,False,False,False
frda,True,False,False,False,False,False,False,False
frdb,True,False,False,False,False,False,False,False
frdc,True,False,False,False,False,False,False,False
frdd,True,False,False,False,False,False,False,False
fre,True,False,False,False,False,False,False,False
frla,True,False,False,False,False,False,False,False
frlb,True,False,False,False,False,False,False,False
frlc,True,False,False,False,False,False,False,False
frld,True,False,False,False,False,False,False,False
frlr,True,False,False,False,False,False,False,False
frma,True,False,False,False,False,False,False,False
frmb,True,False,False,False,False,False,False,False
frmr,True,False,False,False,False,False,False,False
frsa,True,False,False,False,False,False,False,False
frua,True,False,False,False,False,False,False,False
frub,True,False,False,False,False,False,False,False
fruk,True,False,False,False,False,False,False,False
frur,True,False,False,False,False,False,False,False
frva,True,False,False,False,False,False,False,False
frvb,True,False,False,False,False,False,False,False
frvr,True,False,False,False,False,False,False,False
