gene,jw_id,medium,n_replicates
usg,JW2316,M63,3
ushA,JW0469,LB,3
ushA,JW0469,M63,3
uspA,JW3462,LB,3
uspA,JW3462,M63,3
uspE,JW1327,LB,3
uspE,JW1327,M63,3
uspF,JW1370,LB,3
uspF,JW1370,M63,3
uspG,JW0600,LB,3
uspG,JW0600,M63,3
uup,JW0932,LB,3
uup,JW0932,M63,3
uvrA,JW4019,LB,3
uvrA,JW4019,M63,3
uvrB,JW0762,LB,3
uvrB,JW0762,M63,3
uvrC,JW1898,LB,3
uvrC,JW1898,M63,3
uvrD,JW3786,LB,3
uvrD,JW3786,M63,3
uvrY,JW1899,LB,3
uvrY,JW1899,M63,3
uxaA,JW3062,LB,3
uxaA,JW3062,M63,3
uxaB,JW1514,LB,3
uxaB,JW1514,M63,3
uxaC,JW3063,LB,3
uxaC,JW3063,M63,3
uxuA,JW4285,LB,3
uxuA,JW4285,M63,3
uxuB,JW4286,LB,3
uxuB,JW4286,M63,3
uxuR,JW4287,LB,3
uxuR,JW4287,M63,3
vacJ,JW2343,LB,3
vacJ,JW2343,M63,3
visC,JW2874,LB,3
visC,JW2874,M63,3
vsr,JW1943,LB,3
vsr,JW1943,M63,3
wbbH,JW2020,LB,3
wbbH,JW2020,M63,3
wbbI,JW2019,LB,3
wbbI,JW2019,M63,3
wbbJ,JW2018,LB,3
wbbJ,JW2018,M63,3
wbbK,JW2017,LB,3
wbbK,JW2017,M63,3
wbbL,JW2012,LB,6
wbbL,JW2012,M63,6
wcaA,JW2044,LB,3
wcaA,JW2044,M63,3
wcaB,JW2043,LB,3
wcaB,JW2043,M63,3
wcaC,JW2042,LB,3
wcaC,JW2042,M63,3
wcaD,JW2041,LB,3
wcaD,JW2041,M63,3
wcaE,JW2040,LB,3
wcaE,JW2040,M63,3
wcaF,JW2039,LB,3
wcaF,JW2039,M63,3
wcaI,JW2035,LB,3
wcaI,JW2035,M63,3
wcaJ,JW2032,LB,3
wcaJ,JW2032,M63,3
wcaK,JW2030,LB,3
wcaK,JW2030,M63,3
wcaL,JW2029,LB,3
wcaL,JW2029,M63,3
wcaM,JW2028,LB,3
wcaM,JW2028,M63,3
wrbA,JW0989,LB,3
wrbA,JW0989,M63,3
wza,JW2047,LB,3
wza,JW2047,M63,3
